clip_id,path,reference_text,accent_group,noise_condition
us_000_clean,data/audio\us_000_clean.wav,By hook or by crook.,us,clean
us_000_snr10,data/audio\us_000_snr10.wav,By hook or by crook.,us,snr10
us_000_snr0,data/audio\us_000_snr0.wav,By hook or by crook.,us,snr0
us_001_clean,data/audio\us_001_clean.wav,See you later!,us,clean
us_001_snr10,data/audio\us_001_snr10.wav,See you later!,us,snr10
us_001_snr0,data/audio\us_001_snr0.wav,See you later!,us,snr0
us_002_clean,data/audio\us_002_clean.wav,A deputy representative,us,clean
us_002_snr10,data/audio\us_002_snr10.wav,A deputy representative,us,snr10
us_002_snr0,data/audio\us_002_snr0.wav,A deputy representative,us,snr0
us_003_clean,data/audio\us_003_clean.wav,Did you see any ghosts?,us,clean
us_003_snr10,data/audio\us_003_snr10.wav,Did you see any ghosts?,us,snr10
us_003_snr0,data/audio\us_003_snr0.wav,Did you see any ghosts?,us,snr0
us_004_clean,data/audio\us_004_clean.wav,I'm planning to buy some topological maps for my research.,us,clean
us_004_snr10,data/audio\us_004_snr10.wav,I'm planning to buy some topological maps for my research.,us,snr10
us_004_snr0,data/audio\us_004_snr0.wav,I'm planning to buy some topological maps for my research.,us,snr0
us_005_clean,data/audio\us_005_clean.wav,"She has always been very kind and friendly to everyone, even strangers.",us,clean
us_005_snr10,data/audio\us_005_snr10.wav,"She has always been very kind and friendly to everyone, even strangers.",us,snr10
us_005_snr0,data/audio\us_005_snr0.wav,"She has always been very kind and friendly to everyone, even strangers.",us,snr0
us_006_clean,data/audio\us_006_clean.wav,Have you seen it?,us,clean
us_006_snr10,data/audio\us_006_snr10.wav,Have you seen it?,us,snr10
us_006_snr0,data/audio\us_006_snr0.wav,Have you seen it?,us,snr0
us_007_clean,data/audio\us_007_clean.wav,How can you tell?,us,clean
us_007_snr10,data/audio\us_007_snr10.wav,How can you tell?,us,snr10
us_007_snr0,data/audio\us_007_snr0.wav,How can you tell?,us,snr0
